ID;session;trial;response;outcome;mean;sd
20;2;186;62;90;62;15
20;2;187;69;57;62;15
20;2;188;58;43;62;15
20;2;189;52;100;62;15
20;2;190;8;64;62;15
20;2;191;66;23;62;15
20;2;192;60;59;62;15
20;2;193;64;66;62;15
20;2;194;64;66;62;15
20;2;195;65;68;62;15
20;2;196;70;73;62;15
20;2;197;74;72;62;15
20;2;198;76;54;62;15
20;2;199;64;74;62;15
20;2;200;70;62;62;15
20;2;201;62;63;62;15
20;2;202;64;43;62;15
20;2;203;62;49;62;15
20;2;204;50;92;62;15
20;2;205;76;49;62;15
20;2;206;51;67;62;15
20;2;207;61;38;40;5
20;2;208;43;34;40;5
20;2;209;26;30;40;5
20;2;210;29;30;40;5
20;2;211;31;41;40;5
20;2;212;33;40;40;5
20;2;213;31;34;40;5
20;2;214;34;32;40;5
20;2;215;24;49;40;5
20;2;216;40;50;40;5
20;2;217;44;41;40;5
20;2;218;44;33;40;5
20;2;219;37;36;40;5
20;2;220;32;48;40;5
20;2;221;39;40;40;5
20;2;222;32;40;40;5
20;2;223;33;41;40;5
20;2;224;39;43;40;5
20;2;225;29;38;40;5
20;2;226;30;39;40;5
20;2;227;28;39;40;5
20;2;228;34;25;40;5
20;2;229;18;39;40;5
20;2;230;26;28;40;5
20;2;231;27;42;40;5
20;2;232;31;28;40;5
20;2;233;26;31;40;5
20;2;234;26;31;40;5
20;2;235;31;42;40;5
20;2;236;29;34;40;5
20;2;237;27;37;40;5
20;2;238;30;39;40;5
20;2;239;30;38;40;5
20;2;240;36;31;40;5
20;3;1;76;100;89;15
20;3;2;95;90;89;15
20;3;3;88;60;89;15
20;3;4;84;73;89;15
20;3;5;79;83;89;15
20;3;6;83;82;89;15
20;3;7;78;80;89;15
20;3;8;78;78;89;15
20;3;9;73;86;89;15
20;3;10;76;84;89;15
20;3;11;78;98;89;15
20;3;12;83;93;89;15
20;3;13;79;100;89;15
20;3;14;90;68;89;15
20;3;15;61;65;89;15
20;3;16;64;70;89;15
20;3;17;68;91;89;15
20;3;18;85;76;89;15
20;3;19;76;100;89;15
20;3;20;92;86;89;15
20;3;21;87;95;89;15
20;3;22;88;85;89;15
20;3;23;77;80;89;15
20;3;24;74;84;89;15
20;3;25;90;85;89;15
20;3;26;81;60;83;15
20;3;27;61;82;83;15
20;3;28;78;90;83;15
20;3;29;83;96;83;15
20;3;30;89;94;83;15
20;3;31;91;70;83;15
20;3;32;80;79;83;15
20;3;33;84;76;83;15
20;3;34;77;88;83;15
20;3;35;86;93;83;15
20;3;36;89;66;83;15
20;3;37;75;61;83;15
20;3;38;71;71;83;15
20;3;39;72;90;83;15
20;3;40;78;62;83;15
20;3;41;67;100;83;15
20;3;42;38;68;58;15
20;3;43;77;54;58;15
20;3;44;89;75;58;15
20;3;45;73;70;58;15
20;3;46;72;73;77;5
20;3;47;75;72;77;5
20;3;48;72;89;77;5
20;3;49;87;72;77;5
20;3;50;66;73;77;5
20;3;51;77;72;77;5
20;3;52;71;72;77;5
20;3;53;72;81;77;5
20;3;54;80;81;77;5
20;3;55;80;72;77;5
20;3;56;79;84;77;5
20;3;57;74;89;77;5
20;3;58;80;76;77;5
20;3;59;78;70;77;5
20;3;60;74;81;77;5
20;3;61;80;74;77;5
20;3;62;73;80;77;5
20;3;63;78;82;77;5
20;3;64;82;71;77;5
20;3;65;75;72;77;5
20;3;66;68;84;77;5
20;3;67;84;71;77;5
20;3;68;78;77;77;5
20;3;69;74;73;77;5
20;3;70;75;71;77;5
20;3;71;71;76;77;5
20;3;72;74;71;77;5
20;3;73;70;80;77;5
20;3;74;73;81;77;5
20;3;75;75;75;77;5
20;3;76;74;71;77;5
20;3;77;76;84;77;5
20;3;78;81;79;77;5
20;3;79;80;71;77;5
20;3;80;77;25;25;15
20;3;81;35;19;25;15
20;3;82;17;17;25;15
20;3;83;15;12;25;15
20;3;84;12;15;25;15
20;3;85;9;25;25;15
20;3;86;21;45;25;15
20;3;87;31;36;25;15
20;3;88;32;24;25;15
20;3;89;23;54;25;15
20;3;90;57;25;25;15
20;3;91;22;24;25;15
20;3;92;24;10;25;15
20;3;93;14;35;25;15
20;3;94;19;8;25;15
20;3;95;7;15;25;15
20;3;96;14;91;86;15
20;3;97;57;100;86;15
